stem,stratum,nasa_id,title,source_url,credit,prepared_file,prep
earth-limb-sunrise,gradient-limb,iss059e027932,Orbital sunrise over Earth's limb (Expedition 59),https://images.nasa.gov/details/iss059e027932,NASA,assets/earth-limb-sunrise.png,from ~orig.jpg 5568x3712 — sips --resampleHeight 3072 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 3072 3072 (center)
vavilov-crater,concentric-texture,art002e012093,Vavilov Crater Along the Hertzsprung Basin Rim,https://images.nasa.gov/details/art002e012093,NASA,assets/vavilov-crater.png,from ~orig.jpg 5568x3712 — sips --resampleHeight 3072 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 3072 3072 (center)
sahara-dunes,oriented-ridges,iss066e137375,Sahara Desert dunes and plateaus over Algeria (Expedition 66),https://images.nasa.gov/details/iss066e137375,NASA,assets/sahara-dunes.png,from ~orig.jpg 5568x3712 — sips --resampleHeight 3072 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 3072 3072 (center)
