queryPolarity,corpus,charset,oracle,cells,glyphs,productionMean,faithfulMean,improvementPercent,differingPickPercent,productionMeanInkDelta,faithfulMeanInkDelta,maxInkDelta
direct,nasa-steerable-v1,blocks,gmsd,8640,8,0.2952290320157904,0.18986028811065853,35.690508885825366,42.66203703703704,0.5978856493236014,0.2785712637050353,0.8431504964828491
direct,nasa-steerable-v1,blocks,haarPSI,8640,8,0.15399115385202494,0.4514858783804604,193.1894898419345,42.66203703703704,0.5978856493236014,0.2785712637050353,0.8431504964828491
direct,nasa-steerable-v1,blocks,mae,8640,8,0.6665135839610707,0.3516726879623558,47.236981147124524,42.66203703703704,0.5978856493236014,0.2785712637050353,0.8431504964828491
direct,nasa-steerable-v1,blocks,rmse,8640,8,0.7040129333382779,0.3713177166711664,47.2569751083325,42.66203703703704,0.5978856493236014,0.2785712637050353,0.8431504964828491
direct,nasa-steerable-v1,blocks,ssim,8640,8,0.003952600695938747,0.3067265536269916,7660.119911483841,42.66203703703704,0.5978856493236014,0.2785712637050353,0.8431504964828491
direct,nasa-steerable-v1,standard,gmsd,8640,95,0.2080085033775799,0.2046475877421953,1.6157587698632772,41.967592592592595,0.17167780533076168,0.16973755134159646,0.49255242943763733
direct,nasa-steerable-v1,standard,haarPSI,8640,95,0.378084548937283,0.3758346998979619,-0.5950650577086343,41.967592592592595,0.17167780533076168,0.16973755134159646,0.49255242943763733
direct,nasa-steerable-v1,standard,mae,8640,95,0.22860207387545453,0.23104587655899672,-1.0690203470654454,41.967592592592595,0.17167780533076168,0.16973755134159646,0.49255242943763733
direct,nasa-steerable-v1,standard,rmse,8640,95,0.24234734781524578,0.2520018178652367,-3.9837324967760788,41.967592592592595,0.17167780533076168,0.16973755134159646,0.49255242943763733
direct,nasa-steerable-v1,standard,ssim,8640,95,0.30793198766555757,0.30938015650166334,0.47028853581740004,41.967592592592595,0.17167780533076168,0.16973755134159646,0.49255242943763733
direct,nasa-steerable-v1,braille,gmsd,8640,256,0.21197723564371274,0.3109408816673937,-46.685978200988124,96.23842592592592,0.1278743714697258,0.14058397111366502,0.37615692615509033
direct,nasa-steerable-v1,braille,haarPSI,8640,256,0.38143283709825726,0.09050932660434989,-76.27122843096106,96.23842592592592,0.1278743714697258,0.14058397111366502,0.37615692615509033
direct,nasa-steerable-v1,braille,mae,8640,256,0.23845821354980407,0.2528437744818661,-6.032738699964097,96.23842592592592,0.1278743714697258,0.14058397111366502,0.37615692615509033
direct,nasa-steerable-v1,braille,rmse,8640,256,0.26161702397361497,0.3239604049210054,-23.830016869879998,96.23842592592592,0.1278743714697258,0.14058397111366502,0.37615692615509033
direct,nasa-steerable-v1,braille,ssim,8640,256,0.3059013900294951,0.027744117539829093,-90.93037219047811,96.23842592592592,0.1278743714697258,0.14058397111366502,0.37615692615509033
direct,nasa-occupancy-v1,blocks,gmsd,66880,8,0.2594263081465751,0.25965639288531833,-0.08868982501699686,40.711722488038276,0.5805978894719417,0.30744827452473994,1
direct,nasa-occupancy-v1,blocks,haarPSI,66880,8,0.235424924328959,0.28652836878194854,21.706896412370824,40.711722488038276,0.5805978894719417,0.30744827452473994,1
direct,nasa-occupancy-v1,blocks,mae,66880,8,0.657143365562317,0.3966899237458062,39.63418874261038,40.711722488038276,0.5805978894719417,0.30744827452473994,1
direct,nasa-occupancy-v1,blocks,rmse,66880,8,0.6963953876287048,0.46321250736510516,33.484265462700776,40.711722488038276,0.5805978894719417,0.30744827452473994,1
direct,nasa-occupancy-v1,blocks,ssim,66880,8,0.004986492298910015,0.10456773983829377,1997.0199805813593,40.711722488038276,0.5805978894719417,0.30744827452473994,1
direct,nasa-occupancy-v1,standard,gmsd,66880,95,0.2988923626963773,0.30959792126748215,-3.581743767063002,54.79515550239235,0.3134617995902848,0.3107232437982683,0.7793939113616943
direct,nasa-occupancy-v1,standard,haarPSI,66880,95,0.1831964237047793,0.1831226703887258,-0.04025914620055684,54.79515550239235,0.3134617995902848,0.3107232437982683,0.7793939113616943
direct,nasa-occupancy-v1,standard,mae,66880,95,0.36692187761270023,0.3712548468446788,-1.1808969419240187,54.79515550239235,0.3134617995902848,0.3107232437982683,0.7793939113616943
direct,nasa-occupancy-v1,standard,rmse,66880,95,0.39921846866470423,0.41734656229957323,-4.540895539102534,54.79515550239235,0.3134617995902848,0.3107232437982683,0.7793939113616943
direct,nasa-occupancy-v1,standard,ssim,66880,95,0.10428802944526706,0.10516371760407392,0.8396823331161308,54.79515550239235,0.3134617995902848,0.3107232437982683,0.7793939113616943
direct,nasa-occupancy-v1,braille,gmsd,66880,256,0.2541943823205649,0.26196505724682007,-3.0569813759517124,77.20693779904306,0.24552465457407519,0.24038778821829732,0.7131074666976929
direct,nasa-occupancy-v1,braille,haarPSI,66880,256,0.18462117242948778,0.136286730645164,-26.180335195728492,77.20693779904306,0.24552465457407519,0.24038778821829732,0.7131074666976929
direct,nasa-occupancy-v1,braille,mae,66880,256,0.3528513540443912,0.3489654310037183,1.1012918035122647,77.20693779904306,0.24552465457407519,0.24038778821829732,0.7131074666976929
direct,nasa-occupancy-v1,braille,rmse,66880,256,0.41103283158748705,0.41678448927246264,-1.399318313031492,77.20693779904306,0.24552465457407519,0.24038778821829732,0.7131074666976929
direct,nasa-occupancy-v1,braille,ssim,66880,256,0.10052253227527076,0.0727239432239543,-27.654087518600157,77.20693779904306,0.24552465457407519,0.24038778821829732,0.7131074666976929
