queryPolarity,corpus,charset,arm,oracle,cells,glyphs,candidateW,candidateH,dimension,windows,mean,improvementPercent,productionAgreementPercent,meanInkDelta,maxInkDelta
direct,nasa-steerable-v1,blocks,squareSingleDisc,gmsd,8640,8,64,64,60,1,0.1886091819895451,0,62.175925925925924,0.2922918821157105,0.8423235416412354
direct,nasa-steerable-v1,blocks,squareSingleDisc,haarPSI,8640,8,64,64,60,1,0.4489545728212998,0,62.175925925925924,0.2922918821157105,0.8423235416412354
direct,nasa-steerable-v1,blocks,squareSingleDisc,mae,8640,8,64,64,60,1,0.3603062957012418,0,62.175925925925924,0.2922918821157105,0.8423235416412354
direct,nasa-steerable-v1,blocks,squareSingleDisc,rmse,8640,8,64,64,60,1,0.3746569519693691,0,62.175925925925924,0.2922918821157105,0.8423235416412354
direct,nasa-steerable-v1,blocks,squareSingleDisc,ssim,8640,8,64,64,60,1,0.3033531822950875,0,62.175925925925924,0.2922918821157105,0.8423235416412354
direct,nasa-steerable-v1,blocks,rectSingleDisc,gmsd,8640,8,12,24,60,1,0.19034217856340835,-0.9188293780730737,50.995370370370374,0.255931226860277,0.823883056640625
direct,nasa-steerable-v1,blocks,rectSingleDisc,haarPSI,8640,8,12,24,60,1,0.44740577271195886,-0.34497924803572955,50.995370370370374,0.255931226860277,0.823883056640625
direct,nasa-steerable-v1,blocks,rectSingleDisc,mae,8640,8,12,24,60,1,0.3463235236110715,3.880801489453991,50.995370370370374,0.255931226860277,0.823883056640625
direct,nasa-steerable-v1,blocks,rectSingleDisc,rmse,8640,8,12,24,60,1,0.3654132434305479,2.467245967339468,50.995370370370374,0.255931226860277,0.823883056640625
direct,nasa-steerable-v1,blocks,rectSingleDisc,ssim,8640,8,12,24,60,1,0.30377795456817713,0.14002565256639568,50.995370370370374,0.255931226860277,0.823883056640625
direct,nasa-steerable-v1,blocks,faithfulSingleDisc,gmsd,8640,8,12,24,60,1,0.18986028811065853,-0.6633325630895198,57.33796296296296,0.2785712637050353,0.8136717081069946
direct,nasa-steerable-v1,blocks,faithfulSingleDisc,haarPSI,8640,8,12,24,60,1,0.4514858783804604,0.5638222021558831,57.33796296296296,0.2785712637050353,0.8136717081069946
direct,nasa-steerable-v1,blocks,faithfulSingleDisc,mae,8640,8,12,24,60,1,0.3516726879623558,2.3961856459052266,57.33796296296296,0.2785712637050353,0.8136717081069946
direct,nasa-steerable-v1,blocks,faithfulSingleDisc,rmse,8640,8,12,24,60,1,0.3713177166711664,0.8912780826967512,57.33796296296296,0.2785712637050353,0.8136717081069946
direct,nasa-steerable-v1,blocks,faithfulSingleDisc,ssim,8640,8,12,24,60,1,0.3067265536269916,1.112027672293419,57.33796296296296,0.2785712637050353,0.8136717081069946
direct,nasa-steerable-v1,blocks,faithfulTiled,gmsd,8640,8,12,24,4320,72,0.18942598004221475,-0.43306377985082944,59.45601851851852,0.28686177815597386,0.8146313428878784
direct,nasa-steerable-v1,blocks,faithfulTiled,haarPSI,8640,8,12,24,4320,72,0.45208293303955394,0.6968099686779078,59.45601851851852,0.28686177815597386,0.8146313428878784
direct,nasa-steerable-v1,blocks,faithfulTiled,mae,8640,8,12,24,4320,72,0.3559971941098837,1.1959551200657135,59.45601851851852,0.28686177815597386,0.8146313428878784
