corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-structure-v1,blocks,P,,,80,2,24,1,8640,8,0.5625471825278434,0.6442508349413618,0.002483116894050378,0.2982608886491533,0.08231623580315801,0.0016208849999998565,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-structure-v1,blocks,F,,,80,2,24,1,8640,8,0.3050993107498866,0.38246941098552256,0.045123499261948585,0.301019562404594,0.1301389818897257,0.00010652099999999529,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-structure-v1,standard,P,,,80,2,24,1,8640,95,0.2535181487073344,0.2899692575222546,0.05081417903289478,0.24240164824742147,0.13674815068314902,0.013669683999999935,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-structure-v1,standard,F,,,80,2,24,1,8640,95,0.26181285561691936,0.3216041025943677,0.010924163736863415,0.2826572176380932,0.0994429137477735,0.0009220710000000819,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
