corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-structure-v1,blocks,P,,,76,2,24,1,7752,8,0.562157523019867,0.64398882304285,0.002562465346460038,0.29736902395314724,0.08174110243048965,0.0021795899999999457,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
nasa-structure-v1,blocks,F,,,76,2,24,1,7752,8,0.3045335081792266,0.38205804275749833,0.04668692452538814,0.3012237867204267,0.12989215942607868,0.00012263799999999436,0eb5093c51d954e89f922f010bfe064fbda21d7d,inverted
