# Selection optimality gap
charset | oracle | os | cells | glyphs | poolW | prod | optPool | optGlobal | toneOnly | meanRank | totalGap% | rankGap% | poolGap% | exactOpt% | optInPool%
standard | ssim | 2 | 8640 | 95 | 12.0 | 0.31340 | 0.32642 | 0.33441 | 0.02673 | 29.40 | 6.71 | 4.16 | 2.55 | 37.6 | 46.7
standard | gmsd | 4 | 8640 | 95 | 12.0 | 0.20391 | 0.19536 | 0.16274 | 0.28116 | 35.79 | 20.19 | 4.19 | 16.00 | 37.0 | 42.1
standard | haarPSI | 4 | 8640 | 95 | 12.0 | 0.37967 | 0.39352 | 0.40575 | 0.15783 | 28.81 | 6.87 | 3.65 | 3.22 | 36.5 | 47.6
standard | mae | 4 | 8640 | 95 | 12.0 | 0.24245 | 0.23669 | 0.22942 | 0.25084 | 23.17 | 5.37 | 2.38 | 3.00 | 38.5 | 44.0
standard | rmse | 4 | 8640 | 95 | 12.0 | 0.25779 | 0.25119 | 0.23948 | 0.30409 | 23.18 | 7.10 | 2.56 | 4.54 | 38.5 | 39.5
standard | ssim | 4 | 8640 | 95 | 12.0 | 0.31312 | 0.32647 | 0.33441 | 0.05213 | 29.74 | 6.80 | 4.26 | 2.54 | 37.4 | 46.7
standard | gmsd | 8 | 8640 | 95 | 12.0 | 0.20041 | 0.19535 | 0.16274 | 0.27699 | 24.82 | 18.80 | 2.53 | 16.27 | 38.7 | 42.2
standard | haarPSI | 8 | 8640 | 95 | 12.0 | 0.37783 | 0.39355 | 0.40575 | 0.17057 | 34.88 | 7.39 | 4.16 | 3.23 | 36.6 | 47.7
standard | mae | 8 | 8640 | 95 | 12.0 | 0.24236 | 0.23679 | 0.22942 | 0.25049 | 23.97 | 5.34 | 2.30 | 3.04 | 38.6 | 43.8
standard | rmse | 8 | 8640 | 95 | 12.0 | 0.25686 | 0.25145 | 0.23948 | 0.30189 | 22.74 | 6.76 | 2.10 | 4.66 | 38.4 | 39.3
standard | ssim | 8 | 8640 | 95 | 12.0 | 0.31326 | 0.32649 | 0.33441 | 0.06717 | 29.59 | 6.75 | 4.23 | 2.53 | 37.7 | 46.6
standard | gmsd | 16 | 8640 | 95 | 12.0 | 0.20052 | 0.19534 | 0.16274 | 0.27851 | 25.33 | 18.84 | 2.58 | 16.26 | 38.8 | 42.2
standard | haarPSI | 16 | 8640 | 95 | 12.0 | 0.37828 | 0.39357 | 0.40575 | 0.16589 | 33.37 | 7.26 | 4.04 | 3.22 | 36.6 | 47.7
standard | mae | 16 | 8640 | 95 | 12.0 | 0.24187 | 0.23686 | 0.22942 | 0.25073 | 20.92 | 5.14 | 2.07 | 3.07 | 38.5 | 43.7
standard | rmse | 16 | 8640 | 95 | 12.0 | 0.25657 | 0.25162 | 0.23948 | 0.30291 | 19.05 | 6.66 | 1.93 | 4.73 | 38.3 | 39.2
standard | ssim | 16 | 8640 | 95 | 12.0 | 0.31334 | 0.32650 | 0.33441 | 0.06157 | 29.57 | 6.72 | 4.20 | 2.53 | 37.7 | 46.7
standard | gmsd | 32 | 8640 | 95 | 12.0 | 0.20027 | 0.19534 | 0.16274 | 0.27849 | 24.28 | 18.74 | 2.46 | 16.28 | 38.8 | 42.2
standard | haarPSI | 32 | 8640 | 95 | 12.0 | 0.37799 | 0.39358 | 0.40575 | 0.16597 | 34.42 | 7.34 | 4.12 | 3.22 | 36.7 | 47.7
standard | mae | 32 | 8640 | 95 | 12.0 | 0.24217 | 0.23688 | 0.22942 | 0.25074 | 21.68 | 5.26 | 2.18 | 3.08 | 38.5 | 43.6
standard | rmse | 32 | 8640 | 95 | 12.0 | 0.25677 | 0.25167 | 0.23948 | 0.30292 | 19.68 | 6.73 | 1.98 | 4.75 | 38.3 | 39.2
standard | ssim | 32 | 8640 | 95 | 12.0 | 0.31339 | 0.32651 | 0.33441 | 0.06172 | 29.43 | 6.71 | 4.18 | 2.52 | 37.7 | 46.7
