set,unicode_scalar,brightness_delta,raw_density_delta,shape_max_delta,orientation_max_delta,radial_peak_delta,overall_max_delta
mixed,U+2500,0,0,0,0,0,0
mixed,U+2502,0,0,0,0,0,0
mixed,U+25A0,0,0,0,0,0,0
mixed,U+25C7,0,0,0,0,0,0
braille,U+2800,0,0,0,0,0,0
braille,U+2801,0,0,0,0,0,0
braille,U+2802,0,0,0,0,0,0
braille,U+2803,0,0,0,0,0,0
braille,U+2804,0,0,0,0,0,0
braille,U+2805,0,0,0,0,0,0
braille,U+2806,0,0,0,0,0,0
braille,U+2807,0,0,0,0,0,0
braille,U+2808,0,0,0,0,0,0
braille,U+2809,0,0,0,0,0,0
braille,U+280A,0,0,0,0,0,0
braille,U+280B,0,0,0,0,0,0
braille,U+280C,0,0,0,0,0,0
braille,U+280D,0,0,0,0,0,0
braille,U+280E,0,0,0,0,0,0
braille,U+280F,0,0,0,0,0,0
braille,U+2810,0,0,0,0,0,0
braille,U+2811,0,0,0,0,0,0
braille,U+2812,0,0,0,0,0,0
braille,U+2813,0,0,0,0,0,0
braille,U+2814,0,0,0,0,0,0
braille,U+2815,0,0,0,0,0,0
braille,U+2816,0,0,0,0,0,0
braille,U+2817,0,0,0,0,0,0
braille,U+2818,0,0,0,0,0,0
braille,U+2819,0,0,0,0,0,0
braille,U+281A,0,0,0,0,0,0
braille,U+281B,0,0,0,0,0,0
braille,U+281C,0,0,0,0,0,0
braille,U+281D,0,0,0,0,0,0
braille,U+281E,0,0,0,0,0,0
braille,U+281F,0,0,0,0,0,0
braille,U+2820,0,0,0,0,0,0
braille,U+2821,0,0,0,0,0,0
braille,U+2822,0,0,0,0,0,0
braille,U+2823,0,0,0,0,0,0
braille,U+2824,0,0,0,0,0,0
braille,U+2825,0,0,0,0,0,0
braille,U+2826,0,0,0,0,0,0
braille,U+2827,0,0,0,0,0,0
braille,U+2828,0,0,0,0,0,0
braille,U+2829,0,0,0,0,0,0
braille,U+282A,0,0,0,0,0,0
braille,U+282B,0,0,0,0,0,0
braille,U+282C,0,0,0,0,0,0
braille,U+282D,0,0,0,0,0,0
braille,U+282E,0,0,0,0,0,0
braille,U+282F,0,0,0,0,0,0
braille,U+2830,0,0,0,0,0,0
braille,U+2831,0,0,0,0,0,0
braille,U+2832,0,0,0,0,0,0
braille,U+2833,0,0,0,0,0,0
braille,U+2834,0,0,0,0,0,0
braille,U+2835,0,0,0,0,0,0
braille,U+2836,0,0,0,0,0,0
braille,U+2837,0,0,0,0,0,0
braille,U+2838,0,0,0,0,0,0
braille,U+2839,0,0,0,0,0,0
braille,U+283A,0,0,0,0,0,0
braille,U+283B,0,0,0,0,0,0
braille,U+283C,0,0,0,0,0,0
braille,U+283D,0,0,0,0,0,0
braille,U+283E,0,0,0,0,0,0
braille,U+283F,0,0,0,0,0,0
braille,U+2840,0,0,0,0,0,0
braille,U+2841,0,0,0,0,0,0
braille,U+2842,0,0,0,0,0,0
braille,U+2843,0,0,0,0,0,0
braille,U+2844,0,0,0,0,0,0
braille,U+2845,0,0,0,0,0,0
braille,U+2846,0,0,0,0,0,0
braille,U+2847,0,0,0,0,0,0
braille,U+2848,0,0,0,0,0,0
braille,U+2849,0,0,0,0,0,0
braille,U+284A,0,0,0,0,0,0
braille,U+284B,0,0,0,0,0,0
braille,U+284C,0,0,0,0,0,0
braille,U+284D,0,0,0,0,0,0
braille,U+284E,0,0,0,0,0,0
braille,U+284F,0,0,0,0,0,0
braille,U+2850,0,0,0,0,0,0
braille,U+2851,0,0,0,0,0,0
braille,U+2852,0,0,0,0,0,0
braille,U+2853,0,0,0,0,0,0
braille,U+2854,0,0,0,0,0,0
braille,U+2855,0,0,0,0,0,0
braille,U+2856,0,0,0,0,0,0
braille,U+2857,0,0,0,0,0,0
braille,U+2858,0,0,0,0,0,0
braille,U+2859,0,0,0,0,0,0
braille,U+285A,0,0,0,0,0,0
braille,U+285B,0,0,0,0,0,0
braille,U+285C,0,0,0,0,0,0
braille,U+285D,0,0,0,0,0,0
braille,U+285E,0,0,0,0,0,0
braille,U+285F,0,0,0,0,0,0
braille,U+2860,0,0,0,0,0,0
braille,U+2861,0,0,0,0,0,0
braille,U+2862,0,0,0,0,0,0
braille,U+2863,0,0,0,0,0,0
braille,U+2864,0,0,0,0,0,0
braille,U+2865,0,0,0,0,0,0
braille,U+2866,0,0,0,0,0,0
braille,U+2867,0,0,0,0,0,0
braille,U+2868,0,0,0,0,0,0
braille,U+2869,0,0,0,0,0,0
braille,U+286A,0,0,0,0,0,0
braille,U+286B,0,0,0,0,0,0
braille,U+286C,0,0,0,0,0,0
braille,U+286D,0,0,0,0,0,0
braille,U+286E,0,0,0,0,0,0
braille,U+286F,0,0,0,0,0,0
braille,U+2870,0,0,0,0,0,0
braille,U+2871,0,0,0,0,0,0
braille,U+2872,0,0,0,0,0,0
braille,U+2873,0,0,0,0,0,0
braille,U+2874,0,0,0,0,0,0
braille,U+2875,0,0,0,0,0,0
braille,U+2876,0,0,0,0,0,0
braille,U+2877,0,0,0,0,0,0
braille,U+2878,0,0,0,0,0,0
braille,U+2879,0,0,0,0,0,0
braille,U+287A,0,0,0,0,0,0
braille,U+287B,0,0,0,0,0,0
braille,U+287C,0,0,0,0,0,0
braille,U+287D,0,0,0,0,0,0
braille,U+287E,0,0,0,0,0,0
braille,U+287F,0,0,0,0,0,0
braille,U+2880,0,0,0,0,0,0
braille,U+2881,0,0,0,0,0,0
braille,U+2882,0,0,0,0,0,0
braille,U+2883,0,0,0,0,0,0
braille,U+2884,0,0,0,0,0,0
braille,U+2885,0,0,0,0,0,0
braille,U+2886,0,0,0,0,0,0
braille,U+2887,0,0,0,0,0,0
braille,U+2888,0,0,0,0,0,0
braille,U+2889,0,0,0,0,0,0
braille,U+288A,0,0,0,0,0,0
braille,U+288B,0,0,0,0,0,0
braille,U+288C,0,0,0,0,0,0
braille,U+288D,0,0,0,0,0,0
braille,U+288E,0,0,0,0,0,0
braille,U+288F,0,0,0,0,0,0
braille,U+2890,0,0,0,0,0,0
braille,U+2891,0,0,0,0,0,0
braille,U+2892,0,0,0,0,0,0
braille,U+2893,0,0,0,0,0,0
braille,U+2894,0,0,0,0,0,0
braille,U+2895,0,0,0,0,0,0
braille,U+2896,0,0,0,0,0,0
braille,U+2897,0,0,0,0,0,0
braille,U+2898,0,0,0,0,0,0
braille,U+2899,0,0,0,0,0,0
braille,U+289A,0,0,0,0,0,0
braille,U+289B,0,0,0,0,0,0
braille,U+289C,0,0,0,0,0,0
braille,U+289D,0,0,0,0,0,0
braille,U+289E,0,0,0,0,0,0
braille,U+289F,0,0,0,0,0,0
braille,U+28A0,0,0,0,0,0,0
braille,U+28A1,0,0,0,0,0,0
braille,U+28A2,0,0,0,0,0,0
braille,U+28A3,0,0,0,0,0,0
braille,U+28A4,0,0,0,0,0,0
braille,U+28A5,0,0,0,0,0,0
braille,U+28A6,0,0,0,0,0,0
braille,U+28A7,0,0,0,0,0,0
braille,U+28A8,0,0,0,0,0,0
braille,U+28A9,0,0,0,0,0,0
braille,U+28AA,0,0,0,0,0,0
braille,U+28AB,0,0,0,0,0,0
braille,U+28AC,0,0,0,0,0,0
braille,U+28AD,0,0,0,0,0,0
braille,U+28AE,0,0,0,0,0,0
braille,U+28AF,0,0,0,0,0,0
braille,U+28B0,0,0,0,0,0,0
braille,U+28B1,0,0,0,0,0,0
braille,U+28B2,0,0,0,0,0,0
braille,U+28B3,0,0,0,0,0,0
braille,U+28B4,0,0,0,0,0,0
braille,U+28B5,0,0,0,0,0,0
braille,U+28B6,0,0,0,0,0,0
braille,U+28B7,0,0,0,0,0,0
