queryPolarity,corpus,charset,arm,oracle,cells,glyphs,candidateW,candidateH,dimension,windows,mean,improvementPercent,productionAgreementPercent,meanInkDelta,maxInkDelta
inverted,nasa-steerable-v1,standard,rectSingleDisc,mae,8640,95,12,24,60,1,0.23210021198797864,-0.6250028499317136,54.31712962962963,0.1688168367276645,0.4919504225254059
inverted,nasa-steerable-v1,standard,rectSingleDisc,rmse,8640,95,12,24,60,1,0.25049756665899126,-0.9996909167512091,54.31712962962963,0.1688168367276645,0.4919504225254059
inverted,nasa-steerable-v1,standard,rectSingleDisc,ssim,8640,95,12,24,60,1,0.3065326141908175,-0.35685640111230427,54.31712962962963,0.1688168367276645,0.4919504225254059
inverted,nasa-steerable-v1,standard,faithfulSingleDisc,gmsd,8640,95,12,24,60,1,0.20407254385704257,0.4368043445401671,58.35648148148148,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,faithfulSingleDisc,haarPSI,8640,95,12,24,60,1,0.3752431259745068,-0.45553268024572197,58.35648148148148,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,faithfulSingleDisc,mae,8640,95,12,24,60,1,0.23120581103836765,-0.23724319502778377,58.35648148148148,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,faithfulSingleDisc,rmse,8640,95,12,24,60,1,0.25214344808630623,-1.6633042111299603,58.35648148148148,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,faithfulSingleDisc,ssim,8640,95,12,24,60,1,0.3065775237335318,-0.342257863121643,58.35648148148148,0.16926889995989364,0.49255242943763733
inverted,nasa-steerable-v1,standard,faithfulTiled,gmsd,8640,95,12,24,4320,72,0.20979716184032585,-2.3561302146608365,55.729166666666664,0.16878275316541677,0.4905214011669159
inverted,nasa-steerable-v1,standard,faithfulTiled,haarPSI,8640,95,12,24,4320,72,0.3780937057089363,0.3006688903475987,55.729166666666664,0.16878275316541677,0.4905214011669159
inverted,nasa-steerable-v1,standard,faithfulTiled,mae,8640,95,12,24,4320,72,0.2271505179252035,1.5208934200761577,55.729166666666664,0.16878275316541677,0.4905214011669159
inverted,nasa-steerable-v1,standard,faithfulTiled,rmse,8640,95,12,24,4320,72,0.24187170504311548,2.4782245325438392,55.729166666666664,0.16878275316541677,0.4905214011669159
inverted,nasa-steerable-v1,standard,faithfulTiled,ssim,8640,95,12,24,4320,72,0.3060678815711255,-0.5079248911041375,55.729166666666664,0.16878275316541677,0.4905214011669159
inverted,nasa-steerable-v1,standard,faithfulTiledNoBlur,gmsd,8640,95,12,24,4320,72,0.20932135431893711,-2.123992581390819,55.77546296296296,0.16829755086957313,0.4847685396671295
inverted,nasa-steerable-v1,standard,faithfulTiledNoBlur,haarPSI,8640,95,12,24,4320,72,0.377373105344987,0.10950808175593117,55.77546296296296,0.16829755086957313,0.4847685396671295
inverted,nasa-steerable-v1,standard,faithfulTiledNoBlur,mae,8640,95,12,24,4320,72,0.2262140149247983,1.926906048318056,55.77546296296296,0.16829755086957313,0.4847685396671295
inverted,nasa-steerable-v1,standard,faithfulTiledNoBlur,rmse,8640,95,12,24,4320,72,0.24143264998059305,2.655249907287567,55.77546296296296,0.16829755086957313,0.4847685396671295
inverted,nasa-steerable-v1,standard,faithfulTiledNoBlur,ssim,8640,95,12,24,4320,72,0.3067164502552684,-0.29709765923392595,55.77546296296296,0.16829755086957313,0.4847685396671295
inverted,nasa-steerable-v1,braille,squareSingleDisc,gmsd,8640,256,64,64,60,1,0.20995145767680673,0,40,0.12787438286118064,0.37615692615509033
inverted,nasa-steerable-v1,braille,squareSingleDisc,haarPSI,8640,256,64,64,60,1,0.37288107451550895,0,40,0.12787438286118064,0.37615692615509033
inverted,nasa-steerable-v1,braille,squareSingleDisc,mae,8640,256,64,64,60,1,0.23911081470746479,0,40,0.12787438286118064,0.37615692615509033
inverted,nasa-steerable-v1,braille,squareSingleDisc,rmse,8640,256,64,64,60,1,0.2623958669935176,0,40,0.12787438286118064,0.37615692615509033
inverted,nasa-steerable-v1,braille,squareSingleDisc,ssim,8640,256,64,64,60,1,0.3015657892154448,0,40,0.12787438286118064,0.37615692615509033
inverted,nasa-steerable-v1,braille,rectSingleDisc,gmsd,8640,256,12,24,60,1,0.31057391602409345,-47.92653476223159,3.4027777777777777,0.14028928806030846,0.37615692615509033
