corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,blocks,P,,,80,2,24,1,8640,8,0.32488349213688644,0.3473847009440245,0.30466371434349815,0.20307988236803928,0.3907505913607641,0.0018264729999998611,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,F,,,80,2,24,1,8640,8,0.2639131023957673,0.2881747440165943,0.3058391493051095,0.20451693852787306,0.37906643823788705,0.00010301499999999579,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,F_legacy,,,80,2,24,1,8640,8,0.2463687174832357,0.2637686953310495,0.3056769936845981,0.20278407560613962,0.3867344115083863,0.0001366319999999961,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,0,,80,2,24,1,8640,8,0.32488349213688644,0.3473847009440245,0.30466371434349815,0.20307988236803928,0.3907505913607641,0.003568530999999743,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,1,,80,2,24,1,8640,8,0.23390651908467028,0.2633361199977483,0.3059413858713074,0.1998206222441871,0.37958276762533744,0.0026701639999997234,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,2,,80,2,24,1,8640,8,0.2342056809067165,0.26390493642162516,0.30596447741906174,0.19973632636192842,0.3795035807822788,0.0025382319999997576,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,5,,80,2,24,1,8640,8,0.2391476050550617,0.26809947584083577,0.30608826802317335,0.19997983753892196,0.3794820524164373,0.0024811899999997865,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,10,,80,2,24,1,8640,8,0.24440731764028475,0.2721401128971262,0.3061106212934445,0.20079438844081735,0.37955930331638915,0.0025369729999997637,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,25,,80,2,24,1,8640,8,0.24833852727144765,0.27506274368613653,0.3059752679343198,0.20129621110348636,0.37983224879640426,0.002502768999999779,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,T,50,,80,2,24,1,8640,8,0.2502468081254553,0.2764898138560046,0.3059294481755239,0.20156362205069916,0.3800248431125311,0.002459745999999792,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,lex,,2,80,2,24,1,8640,8,0.2966763282509786,0.32385409116939534,0.3048609450766408,0.20952446059541632,0.3805641128138527,0.0032643209999996445,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,lex,,3,80,2,24,1,8640,8,0.24175060501568726,0.26667286136863805,0.3063364736005906,0.20428541441722903,0.3880224705320446,0.0026051539999997733,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,lex,,4,80,2,24,1,8640,8,0.23366186725239785,0.26275570072661775,0.30588798931817407,0.19980845972768382,0.37903263875326737,0.0025168199999997965,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,lex,,6,80,2,24,1,8640,8,0.24555455188117975,0.27336688981408885,0.3060489558412526,0.20223726454686594,0.3783848166295033,0.002810895999999715,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,0,,80,2,24,1,8640,8,0.32488349213688644,0.3473847009440245,0.30466371434349815,0.20307988236803928,0.3907505913607641,0.0023302509999998935,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,1,,80,2,24,1,8640,8,0.2338569447236448,0.2632401848204911,0.3059580471454352,0.19984139677725904,0.37961131881446813,0.0021231250000000256,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,2,,80,2,24,1,8640,8,0.2341167381838815,0.26374110536726214,0.3059599588549873,0.19974756880371494,0.37954751712038026,0.00206837100000005,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,5,,80,2,24,1,8640,8,0.2374144787673811,0.26665581658458265,0.30604860900991865,0.19981510433528865,0.3795258516980091,0.0020679960000000597,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,10,,80,2,24,1,8640,8,0.24309692433541183,0.2711236304280905,0.3061518250157499,0.20061644888392938,0.3795029229074757,0.0020082140000000793,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,25,,80,2,24,1,8640,8,0.24763239745678103,0.27451726954875594,0.3060056969946872,0.20121484760966404,0.3797793148131714,0.002014193000000069,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,blocks,znorm,50,,80,2,24,1,8640,8,0.24981354468438693,0.2761700476919713,0.3059391955247515,0.20150794886508003,0.37996758663520247,0.0020254410000000657,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,P,,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.001382733999999845,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,F,,,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,9.610899999999626e-05,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,F_legacy,,,80,2,24,1,8640,4,0.25103502900451635,0.270636373592629,0.30596791374232196,0.20688581544154344,0.3675093373731966,9.988599999999629e-05,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.002448583999999826,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,1,,80,2,24,1,8640,4,0.2420359153561591,0.25210712746490854,0.30570237282183305,0.20190820910540672,0.3796778263400619,0.0020328460000000464,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,2,,80,2,24,1,8640,4,0.24519654783991757,0.2570280445563118,0.3062376656871092,0.20232754332070288,0.38350970748490076,0.0019308880000000561,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,5,,80,2,24,1,8640,4,0.2467012461579444,0.2592810654601356,0.30636030504595846,0.20185656401425597,0.38531326898418594,0.001881850000000042,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,10,,80,2,24,1,8640,4,0.2470845424608391,0.25989169004262935,0.30647851141230825,0.20166551234644764,0.38574840242482994,0.0019075370000000542,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,25,,80,2,24,1,8640,4,0.24744369873410016,0.2602823880453883,0.30650613451410075,0.2016399790423552,0.3860977337518756,0.0019290520000000467,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,T,50,,80,2,24,1,8640,4,0.2475721612120708,0.2604750744656417,0.30653870674266476,0.20163609044425354,0.3862170553742413,0.0019020940000000499,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,lex,,2,80,2,24,1,8640,4,0.23687433591498455,0.24574690840287391,0.30453585593647076,0.2031613954435322,0.36261638106795113,0.0025905389999997526,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,lex,,3,80,2,24,1,8640,4,0.24737736607251304,0.260510559745397,0.30654419847557346,0.20174333628500077,0.3860277325560513,0.0019793960000000616,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,lex,,4,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0019811230000000664,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,lex,,6,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0019948700000000704,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0018627400000000261,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,1,,80,2,24,1,8640,4,0.24066076152564156,0.249936097985901,0.30550357814496365,0.2013447119304996,0.37793162480631437,0.001682946999999974,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,2,,80,2,24,1,8640,4,0.2445420649988586,0.2560846504375243,0.30610582985907375,0.20244935318777454,0.38269377327689025,0.0016390339999999561,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,5,,80,2,24,1,8640,4,0.24650589320787195,0.25896048922656,0.30639246150225447,0.20193288188526906,0.3851014278607677,0.0016736309999999725,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,10,,80,2,24,1,8640,4,0.24697502901954962,0.2597440433268608,0.3064045398563354,0.20174847019731237,0.3856086469899958,0.0016148839999999434,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,25,,80,2,24,1,8640,4,0.2474005639682183,0.26023697490085945,0.3065126623255624,0.20163022251960563,0.3860599680118573,0.0016191019999999413,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
nasa-steerable-v1,diagonal,znorm,50,,80,2,24,1,8640,4,0.2475370499498501,0.2604121945262709,0.30652268669433463,0.20163069405290177,0.38618115476240006,0.0016648609999999602,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,direct
