corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-steerable-v1,blocks,P,,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.0013127729999999017,9a2a73d
nasa-steerable-v1,blocks,F,,,80,2,24,1,8640,8,0.2639131023957673,0.2881747440165943,0.3058391493051095,0.20451693852787306,0.37906643823788705,9.444999999999639e-05,9a2a73d
nasa-steerable-v1,blocks,F_legacy,,,80,2,24,1,8640,8,0.2463687174832357,0.2637686953310495,0.3056769936845981,0.20278407560613962,0.3867344115083863,0.00012377499999999424,9a2a73d
nasa-steerable-v1,blocks,T,0,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.003419033999999811,9a2a73d
nasa-steerable-v1,blocks,T,1,,80,2,24,1,8640,8,0.23653721320579252,0.2684089071471168,0.30474790352783204,0.20075251396173413,0.3777663201031989,0.002502346999999773,9a2a73d
nasa-steerable-v1,blocks,T,2,,80,2,24,1,8640,8,0.2358008784113979,0.2669360726124691,0.3055763866612512,0.19998645445013397,0.3787558135318377,0.002439953999999839,9a2a73d
nasa-steerable-v1,blocks,T,5,,80,2,24,1,8640,8,0.23976948378264543,0.26923489443566495,0.30597429544904314,0.19999449872534544,0.37917198551820935,0.0024024359999998282,9a2a73d
nasa-steerable-v1,blocks,T,10,,80,2,24,1,8640,8,0.24468102715548187,0.2726108827020448,0.3060356013733024,0.20080749791937816,0.37939266353789214,0.002379190999999851,9a2a73d
nasa-steerable-v1,blocks,T,25,,80,2,24,1,8640,8,0.24847891826521284,0.27528094324913255,0.3059071224387132,0.2013098344702341,0.37977348286140766,0.002355714999999884,9a2a73d
nasa-steerable-v1,blocks,T,50,,80,2,24,1,8640,8,0.25032362187811774,0.2765870469742899,0.3059594561261818,0.2015362575015145,0.3800373912418707,0.0023094719999998915,9a2a73d
nasa-steerable-v1,blocks,lex,,2,80,2,24,1,8640,8,0.5128747623429455,0.5983613516985469,0.002237220054457071,0.36770251752332206,0.06420763261547094,0.0034128689999992946,9a2a73d
nasa-steerable-v1,blocks,lex,,3,80,2,24,1,8640,8,0.30399938297196605,0.3984203081416991,0.0032317293887073914,0.3645932424118884,0.0784316342748979,0.0021495969999999996,9a2a73d
nasa-steerable-v1,blocks,lex,,4,80,2,24,1,8640,8,0.2964719705184072,0.39548206639817357,0.003648826247404168,0.36021510798848055,0.06770458362804387,0.002155497000000008,9a2a73d
nasa-steerable-v1,blocks,lex,,6,80,2,24,1,8640,8,0.2469002198702632,0.275904981045977,0.30594639519984007,0.20223897732498258,0.3780412785995155,0.002293572999999927,9a2a73d
nasa-steerable-v1,blocks,znorm,0,,80,2,24,1,8640,8,0.563292565467233,0.6387445020816767,0.002139179498018606,0.3399343193526033,0.09480315921555167,0.0020020730000000777,9a2a73d
nasa-steerable-v1,blocks,znorm,1,,80,2,24,1,8640,8,0.29612454270952987,0.3943564703482309,0.003512488623407882,0.36093737619447674,0.0686422751275143,0.0017963230000000198,9a2a73d
nasa-steerable-v1,blocks,znorm,2,,80,2,24,1,8640,8,0.2961338130025883,0.3947004211492455,0.0035679928426768435,0.36063314676823116,0.06823699480404888,0.0017767900000000116,9a2a73d
nasa-steerable-v1,blocks,znorm,5,,80,2,24,1,8640,8,0.23722602892269556,0.2698258716130769,0.30337171800507773,0.20180102892866653,0.3763123126770819,0.0017563680000000025,9a2a73d
nasa-steerable-v1,blocks,znorm,10,,80,2,24,1,8640,8,0.23602261690628487,0.2673687533128082,0.305414370529284,0.20014446520284743,0.3785770204748157,0.0017459379999999983,9a2a73d
nasa-steerable-v1,blocks,znorm,25,,80,2,24,1,8640,8,0.23653017870759951,0.2670184560802851,0.30576441578516095,0.19973555988617558,0.37908859395007816,0.0017209209999999974,9a2a73d
nasa-steerable-v1,blocks,znorm,50,,80,2,24,1,8640,8,0.2421010162198692,0.27085715772177626,0.3060504938609535,0.20044357050269354,0.37918838592209914,0.0017315500000000008,9a2a73d
nasa-steerable-v1,diagonal,P,,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0011074849999999927,9a2a73d
nasa-steerable-v1,diagonal,F,,,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,8.931099999999675e-05,9a2a73d
nasa-steerable-v1,diagonal,F_legacy,,,80,2,24,1,8640,4,0.25103502900451635,0.270636373592629,0.30596791374232196,0.20688581544154344,0.3675093373731966,8.834999999999694e-05,9a2a73d
nasa-steerable-v1,diagonal,T,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.002301196999999895,9a2a73d
nasa-steerable-v1,diagonal,T,1,,80,2,24,1,8640,4,0.2420359153561591,0.25210712746490854,0.30570237282183305,0.20190820910540672,0.3796778263400619,0.001986016000000076,9a2a73d
nasa-steerable-v1,diagonal,T,2,,80,2,24,1,8640,4,0.24519654783991757,0.2570280445563118,0.3062376656871092,0.20232754332070288,0.38350970748490076,0.0018837320000000505,9a2a73d
nasa-steerable-v1,diagonal,T,5,,80,2,24,1,8640,4,0.2467012461579444,0.2592810654601356,0.30636030504595846,0.20185656401425597,0.38531326898418594,0.001911921000000071,9a2a73d
nasa-steerable-v1,diagonal,T,10,,80,2,24,1,8640,4,0.2470845424608391,0.25989169004262935,0.30647851141230825,0.20166551234644764,0.38574840242482994,0.0019512950000000798,9a2a73d
nasa-steerable-v1,diagonal,T,25,,80,2,24,1,8640,4,0.24744369873410016,0.2602823880453883,0.30650613451410075,0.2016399790423552,0.3860977337518756,0.0019504390000000755,9a2a73d
nasa-steerable-v1,diagonal,T,50,,80,2,24,1,8640,4,0.2475721612120708,0.2604750744656417,0.30653870674266476,0.20163609044425354,0.3862170553742413,0.0019401880000000729,9a2a73d
nasa-steerable-v1,diagonal,lex,,2,80,2,24,1,8640,4,0.23687433591498455,0.24574690840287391,0.30453585593647076,0.2031613954435322,0.36261638106795113,0.00218198699999997,9a2a73d
nasa-steerable-v1,diagonal,lex,,3,80,2,24,1,8640,4,0.24737736607251304,0.260510559745397,0.30654419847557346,0.20174333628500077,0.3860277325560513,0.0017931550000000063,9a2a73d
nasa-steerable-v1,diagonal,lex,,4,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0018495450000000414,9a2a73d
nasa-steerable-v1,diagonal,lex,,6,80,2,24,1,8640,4,0.24770471137386368,0.26067694956274345,0.30659833603045555,0.20166621813018973,0.3863291982564343,0.0018101290000000147,9a2a73d
nasa-steerable-v1,diagonal,znorm,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0016832539999999622,9a2a73d
nasa-steerable-v1,diagonal,znorm,1,,80,2,24,1,8640,4,0.24262356730848492,0.24867933261470418,0.3035133438112784,0.182193802149065,0.3756826382517956,0.001524065999999911,9a2a73d
nasa-steerable-v1,diagonal,znorm,2,,80,2,24,1,8640,4,0.23782958556817616,0.24542070614095973,0.3043493291833592,0.19680259493287988,0.3712772353090921,0.0015069619999999073,9a2a73d
nasa-steerable-v1,diagonal,znorm,5,,80,2,24,1,8640,4,0.24268364914278798,0.25318226185224263,0.3058500559998369,0.20220728579529296,0.3804558813862932,0.0015408609999999251,9a2a73d
nasa-steerable-v1,diagonal,znorm,10,,80,2,24,1,8640,4,0.24550669512815596,0.257467825737301,0.306202448382879,0.20224055874871258,0.3838979411201571,0.0014736309999998929,9a2a73d
