corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-structure-v1,blocks,P,,,80,2,24,1,8640,8,0.5571375449107365,0.6353310231527719,0.0026050996482731605,0.2950194438009309,0.08336442231379701,0.002402809999999959,a07f806
nasa-structure-v1,blocks,F,,,80,2,24,1,8640,8,0.3180936465287037,0.39395673270518605,0.03622990075522239,0.304054436197626,0.12084200463431354,0.00011543299999999464,a07f806
nasa-structure-v1,blocks,F_legacy,,,80,2,24,1,8640,8,0.2632060869431321,0.305764512219124,0.04263246520867941,0.25531476807012626,0.15192932366529605,0.0001869930000000016,a07f806
nasa-structure-v1,blocks,T,0,,80,2,24,1,8640,8,0.5571375449107365,0.6353310231527719,0.0026050996482731605,0.2950194438009309,0.08336442231379701,0.0043385109999999685,a07f806
nasa-structure-v1,blocks,T,1,,80,2,24,1,8640,8,0.29915447130040473,0.38216680189465957,0.03236874916080752,0.3150781426557583,0.12298259716040878,0.0027548629999996715,a07f806
nasa-structure-v1,blocks,T,2,,80,2,24,1,8640,8,0.29812053271645766,0.37998354950556595,0.03369876949275995,0.31359601806046306,0.12493630330326397,0.0025296779999997515,a07f806
nasa-structure-v1,blocks,T,5,,80,2,24,1,8640,8,0.2989193436959985,0.37883388488018327,0.035020727525961956,0.3113453967336294,0.1266381577208847,0.002425998999999818,a07f806
nasa-structure-v1,blocks,T,10,,80,2,24,1,8640,8,0.3001777079112434,0.3789684395085286,0.03585430470405371,0.30969732004965217,0.1267184204213384,0.0024635929999997936,a07f806
nasa-structure-v1,blocks,T,25,,80,2,24,1,8640,8,0.30100397918209176,0.3789159928547074,0.0367041718776237,0.3085153206728164,0.12694238238345587,0.0023868789999998497,a07f806
nasa-structure-v1,blocks,T,50,,80,2,24,1,8640,8,0.3014449070250449,0.37903550736630615,0.037008011100555516,0.3080219322642616,0.1270533489745622,0.002427346999999821,a07f806
nasa-structure-v1,blocks,lex,,2,80,2,24,1,8640,8,0.5066376344689988,0.5936098680467568,0.0023483422120287034,0.3356968904223193,0.07517375717240403,0.0036562019999995944,a07f806
nasa-structure-v1,blocks,lex,,3,80,2,24,1,8640,8,0.3064222412242772,0.39375509738990505,0.004168248923758128,0.32960081702198335,0.09868182325118657,0.0023498879999998743,a07f806
nasa-structure-v1,blocks,lex,,4,80,2,24,1,8640,8,0.30526616798983686,0.39491394659044615,0.005456252977639576,0.3297447099961013,0.09466179998286735,0.0022790189999999273,a07f806
nasa-structure-v1,blocks,lex,,6,80,2,24,1,8640,8,0.3114510236601443,0.3887575862169709,0.034979938356523244,0.3071111283026468,0.12306617657256645,0.002453914999999808,a07f806
nasa-structure-v1,blocks,znorm,0,,80,2,24,1,8640,8,0.5571375449107365,0.6353310231527719,0.0026050996482731605,0.2950194438009309,0.08336442231379701,0.0022802569999999297,a07f806
nasa-structure-v1,blocks,znorm,1,,80,2,24,1,8640,8,0.3038995164854756,0.3932149695361601,0.005088172324354949,0.32865503228235693,0.0963861370497105,0.001893928000000041,a07f806
nasa-structure-v1,blocks,znorm,2,,80,2,24,1,8640,8,0.3045918593634952,0.3940439676007319,0.005278179982745709,0.32949847996679515,0.09535991257167852,0.0018502090000000204,a07f806
nasa-structure-v1,blocks,znorm,5,,80,2,24,1,8640,8,0.299264617226015,0.38239176812067965,0.03221013620201921,0.31514855804286035,0.12286136477720712,0.001817649000000023,a07f806
nasa-structure-v1,blocks,znorm,10,,80,2,24,1,8640,8,0.29824273775188764,0.38024730391557443,0.033543574941485695,0.31382798812449547,0.12467379118872525,0.001796323000000009,a07f806
nasa-structure-v1,blocks,znorm,25,,80,2,24,1,8640,8,0.2987183686434889,0.3788791633631868,0.03482562797964606,0.3118048431347838,0.12644959351750049,0.0017841590000000145,a07f806
nasa-structure-v1,blocks,znorm,50,,80,2,24,1,8640,8,0.29996625806847216,0.3788206432719656,0.035784431868523196,0.3098304349293318,0.126807957553261,0.0018200190000000158,a07f806
nasa-structure-v1,diagonal,P,,,80,2,24,1,8640,4,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0013142319999999278,a07f806
nasa-structure-v1,diagonal,F,,,80,2,24,1,8640,4,0.27087379630443553,0.3066413564234282,0.04035248898167831,0.25050126684955815,0.13072409885452788,9.600399999999612e-05,a07f806
nasa-structure-v1,diagonal,F_legacy,,,80,2,24,1,8640,4,0.2884651589840372,0.3401147891990404,0.039508951270954905,0.2762684238268563,0.12534806380733282,9.480299999999631e-05,a07f806
nasa-structure-v1,diagonal,T,0,,80,2,24,1,8640,4,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0026915719999997595,a07f806
nasa-structure-v1,diagonal,T,1,,80,2,24,1,8640,4,0.25959366098828646,0.28566101317525217,0.039509449935113586,0.23304187972439824,0.12323586989098706,0.002090601000000032,a07f806
nasa-structure-v1,diagonal,T,2,,80,2,24,1,8640,4,0.2649024811618438,0.29492091061564885,0.04000354077080635,0.24042620986468002,0.12833086423618492,0.001944236000000076,a07f806
nasa-structure-v1,diagonal,T,5,,80,2,24,1,8640,4,0.26839120856377857,0.30159950831031346,0.03999882056761324,0.24592411142127252,0.13019200103421233,0.0019229170000000613,a07f806
nasa-structure-v1,diagonal,T,10,,80,2,24,1,8640,4,0.2694564883414091,0.3037754459970253,0.04030188450452136,0.2475968664421444,0.1306283124481219,0.0019751540000000835,a07f806
