stem,stratum,nasa_id,title,source_url,credit,prepared_file,prep
earth-limb-sunrise,gradient-limb,iss028e007274,Earth Observation,https://images.nasa.gov/details/iss028e007274,NASA,assets/earth-limb-sunrise.png,from ~orig.jpg 4288x2848 — sips --resampleHeight 2048 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 2048 2048 (center)
vavilov-crater,concentric-texture,art002e012093,Vavilov Crater Along the Hertzsprung Basin Rim,https://images.nasa.gov/details/art002e012093,NASA,assets/vavilov-crater.png,from ~orig.jpg 5568x3712 — sips --resampleHeight 2048 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 2048 2048 (center)
phoenix-night-grid,oriented-grid,iss035e005438,Earth Observations taken by the Expedition 35 Crew,https://images.nasa.gov/details/iss035e005438,NASA,assets/phoenix-night-grid.png,from ~orig.jpg 4256x2832 — sips --resampleHeight 2048 (short side) then --matchTo "Generic Gray Gamma 2.2 Profile.icc" then --cropToHeightWidth 2048 2048 (center)
